Provincias;Ramas de actividad;Magnitud;periodo;Total
02 Albacete;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);150,2
02 Albacete;TOTAL PERSONAS;Empleo total (miles de personas);2020;147,1
02 Albacete;TOTAL PERSONAS;Empleo total (miles de personas);2019;151,9
02 Albacete;TOTAL PERSONAS;Empleo total (miles de personas);2018;148,3
02 Albacete;TOTAL PERSONAS;Empleo asalariado (miles de personas);2021(P);124,7
02 Albacete;TOTAL PERSONAS;Empleo asalariado (miles de personas);2020;121,2
02 Albacete;TOTAL PERSONAS;Empleo asalariado (miles de personas);2019;124,0
02 Albacete;TOTAL PERSONAS;Empleo asalariado (miles de personas);2018;120,8
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;Empleo total (miles de personas);2021(P);15,3
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;Empleo total (miles de personas);2020;15,3
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;Empleo total (miles de personas);2019;14,3
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;Empleo total (miles de personas);2018;15,3
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;Empleo asalariado (miles de personas);2021(P);11,5
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;Empleo asalariado (miles de personas);2020;10,9
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;Empleo asalariado (miles de personas);2019;9,3
02 Albacete;A. Agricultura, ganadería, silvicultura y pesca;Empleo asalariado (miles de personas);2018;9,7
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo total (miles de personas);2021(P);19,0
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo total (miles de personas);2020;19,0
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo total (miles de personas);2019;19,5
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo total (miles de personas);2018;18,4
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo asalariado (miles de personas);2021(P);17,3
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo asalariado (miles de personas);2020;17,5
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo asalariado (miles de personas);2019;18,0
02 Albacete;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo asalariado (miles de personas);2018;17,0
02 Albacete;C. - De las cuales: Industria manufacturera;Empleo total (miles de personas);2021(P);17,0
02 Albacete;C. - De las cuales: Industria manufacturera;Empleo total (miles de personas);2020;17,0
02 Albacete;C. - De las cuales: Industria manufacturera;Empleo total (miles de personas);2019;17,5
02 Albacete;C. - De las cuales: Industria manufacturera;Empleo total (miles de personas);2018;16,6
02 Albacete;C. - De las cuales: Industria manufacturera;Empleo asalariado (miles de personas);2021(P);15,5
02 Albacete;C. - De las cuales: Industria manufacturera;Empleo asalariado (miles de personas);2020;15,7
02 Albacete;C. - De las cuales: Industria manufacturera;Empleo asalariado (miles de personas);2019;16,2
02 Albacete;C. - De las cuales: Industria manufacturera;Empleo asalariado (miles de personas);2018;15,3
02 Albacete;F. Construcción;Empleo total (miles de personas);2021(P);10,3
02 Albacete;F. Construcción;Empleo total (miles de personas);2020;9,2
02 Albacete;F. Construcción;Empleo total (miles de personas);2019;10,2
02 Albacete;F. Construcción;Empleo total (miles de personas);2018;9,2
02 Albacete;F. Construcción;Empleo asalariado (miles de personas);2021(P);8,6
02 Albacete;F. Construcción;Empleo asalariado (miles de personas);2020;8,0
02 Albacete;F. Construcción;Empleo asalariado (miles de personas);2019;8,3
02 Albacete;F. Construcción;Empleo asalariado (miles de personas);2018;7,6
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;Empleo total (miles de personas);2021(P);41,1
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;Empleo total (miles de personas);2020;39,7
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;Empleo total (miles de personas);2019;44,0
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;Empleo total (miles de personas);2018;43,6
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;Empleo asalariado (miles de personas);2021(P);30,3
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;Empleo asalariado (miles de personas);2020;29,2
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;Empleo asalariado (miles de personas);2019;32,1
02 Albacete;G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones;Empleo asalariado (miles de personas);2018;31,9
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Empleo total (miles de personas);2021(P);13,5
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Empleo total (miles de personas);2020;13,3
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Empleo total (miles de personas);2019;12,9
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Empleo total (miles de personas);2018;12,1
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Empleo asalariado (miles de personas);2021(P);10,7
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Empleo asalariado (miles de personas);2020;10,1
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Empleo asalariado (miles de personas);2019;9,8
02 Albacete;K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;Empleo asalariado (miles de personas);2018;9,3
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo total (miles de personas);2021(P);51,0
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo total (miles de personas);2020;50,6
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo total (miles de personas);2019;51,0
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo total (miles de personas);2018;49,7
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo asalariado (miles de personas);2021(P);46,3
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo asalariado (miles de personas);2020;45,5
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo asalariado (miles de personas);2019;46,5
02 Albacete;O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios;Empleo asalariado (miles de personas);2018;45,3
02 Albacete;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);150,2
02 Albacete;TOTAL PERSONAS;Empleo total (miles de personas);2020;147,1
02 Albacete;TOTAL PERSONAS;Empleo total (miles de personas);2019;151,9
02 Albacete;TOTAL PERSONAS;Empleo total (miles de personas);2018;148,3
02 Albacete;TOTAL PERSONAS;Empleo asalariado (miles de personas);2021(P);124,7
02 Albacete;TOTAL PERSONAS;Empleo asalariado (miles de personas);2020;121,2
02 Albacete;TOTAL PERSONAS;Empleo asalariado (miles de personas);2019;124,0
02 Albacete;TOTAL PERSONAS;Empleo asalariado (miles de personas);2018;120,8
03 Alicante/Alacant;TOTAL PERSONAS;Empleo total (miles de personas);2021(P);686,9
03 Alicante/Alacant;TOTAL PERSONAS;Empleo total (miles de personas);2020;666,3
03 Alicante/Alacant;TOTAL PERSONAS;Empleo total (miles de personas);2019;690,1
03 Alicante/Alacant;TOTAL PERSONAS;Empleo total (miles de personas);2018;670,4
03 Alicante/Alacant;TOTAL PERSONAS;Empleo asalariado (miles de personas);2021(P);572,4
03 Alicante/Alacant;TOTAL PERSONAS;Empleo asalariado (miles de personas);2020;559,0
03 Alicante/Alacant;TOTAL PERSONAS;Empleo asalariado (miles de personas);2019;584,7
03 Alicante/Alacant;TOTAL PERSONAS;Empleo asalariado (miles de personas);2018;564,0
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;Empleo total (miles de personas);2021(P);17,4
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;Empleo total (miles de personas);2020;19,1
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;Empleo total (miles de personas);2019;21,2
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;Empleo total (miles de personas);2018;22,5
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;Empleo asalariado (miles de personas);2021(P);13,4
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;Empleo asalariado (miles de personas);2020;15,2
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;Empleo asalariado (miles de personas);2019;17,2
03 Alicante/Alacant;A. Agricultura, ganadería, silvicultura y pesca;Empleo asalariado (miles de personas);2018;17,5
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo total (miles de personas);2021(P);67,5
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo total (miles de personas);2020;65,1
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo total (miles de personas);2019;68,9
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo total (miles de personas);2018;65,7
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo asalariado (miles de personas);2021(P);62,1
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo asalariado (miles de personas);2020;60,0
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo asalariado (miles de personas);2019;64,2
03 Alicante/Alacant;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Empleo asalariado (miles de personas);2018;60,8
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;Empleo total (miles de personas);2021(P);58,8
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;Empleo total (miles de personas);2020;57,0
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;Empleo total (miles de personas);2019;60,8
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;Empleo total (miles de personas);2018;57,7
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;Empleo asalariado (miles de personas);2021(P);53,8
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;Empleo asalariado (miles de personas);2020;52,3
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;Empleo asalariado (miles de personas);2019;56,3
03 Alicante/Alacant;C. - De las cuales: Industria manufacturera;Empleo asalariado (miles de personas);2018;53,0
03 Alicante/Alacant;F. Construcción;Empleo total (miles de personas);2021(P);53,8
03 Alicante/Alacant;F. Construcción;Empleo total (miles de personas);2020;50,8
03 Alicante/Alacant;F. Construcción;Empleo total (miles de personas);2019;53,3
03 Alicante/Alacant;F. Construcción;Empleo total (miles de personas);2018;49,8
03 Alicante/Alacant;F. Construcción;Empleo asalariado (miles de personas);2021(P);43,8
03 Alicante/Alacant;F. Construcción;Empleo asalariado (miles de personas);2020;42,9
03 Alicante/Alacant;F. Construcción;Empleo asalariado (miles de personas);2019;45,1
03 Alicante/Alacant;F. Construcción;Empleo asalariado (miles de personas);2018;41,3
