,comunidad_autonoma,provincias,edad (3 grupos de edad),españoles/extranjeros,sexo,año,total
0,Castilla-La Mancha,Albacete,0-15 años,Españoles,Hombres,2021,27304
1,Castilla-La Mancha,Albacete,0-15 años,Españoles,Hombres,2020,27979
2,Castilla-La Mancha,Albacete,0-15 años,Españoles,Hombres,2019,28513
3,Castilla-La Mancha,Albacete,0-15 años,Españoles,Mujeres,2021,25547
4,Castilla-La Mancha,Albacete,0-15 años,Españoles,Mujeres,2020,25953
5,Castilla-La Mancha,Albacete,0-15 años,Españoles,Mujeres,2019,26515
6,Castilla-La Mancha,Albacete,0-15 años,Extranjeros,Hombres,2021,2452
7,Castilla-La Mancha,Albacete,0-15 años,Extranjeros,Hombres,2020,2445
8,Castilla-La Mancha,Albacete,0-15 años,Extranjeros,Hombres,2019,2278
9,Castilla-La Mancha,Albacete,0-15 años,Extranjeros,Mujeres,2021,2248
10,Castilla-La Mancha,Albacete,0-15 años,Extranjeros,Mujeres,2020,2191
11,Castilla-La Mancha,Albacete,0-15 años,Extranjeros,Mujeres,2019,2157
12,Castilla-La Mancha,Albacete,16-64 años,Españoles,Hombres,2021,118339
13,Castilla-La Mancha,Albacete,16-64 años,Españoles,Hombres,2020,118606
14,Castilla-La Mancha,Albacete,16-64 años,Españoles,Hombres,2019,119164
15,Castilla-La Mancha,Albacete,16-64 años,Españoles,Mujeres,2021,114163
16,Castilla-La Mancha,Albacete,16-64 años,Españoles,Mujeres,2020,114793
17,Castilla-La Mancha,Albacete,16-64 años,Españoles,Mujeres,2019,115270
18,Castilla-La Mancha,Albacete,16-64 años,Extranjeros,Hombres,2021,11655
19,Castilla-La Mancha,Albacete,16-64 años,Extranjeros,Hombres,2020,11488
20,Castilla-La Mancha,Albacete,16-64 años,Extranjeros,Hombres,2019,10695
21,Castilla-La Mancha,Albacete,16-64 años,Extranjeros,Mujeres,2021,9637
22,Castilla-La Mancha,Albacete,16-64 años,Extranjeros,Mujeres,2020,9436
23,Castilla-La Mancha,Albacete,16-64 años,Extranjeros,Mujeres,2019,8781
24,Castilla-La Mancha,Albacete,65 y más,Españoles,Hombres,2021,33108
