,comunidad_autonoma,provincias,ramas de actividad,magnitud,periodo,total
0,Castilla-La Mancha,Albacete,"A. Agricultura, ganadería, silvicultura y pesca",Empleo total (miles de personas),2021,15.3
1,Castilla-La Mancha,Albacete,"A. Agricultura, ganadería, silvicultura y pesca",Empleo total (miles de personas),2020,15.3
2,Castilla-La Mancha,Albacete,"A. Agricultura, ganadería, silvicultura y pesca",Empleo total (miles de personas),2019,14.3
3,Castilla-La Mancha,Albacete,"A. Agricultura, ganadería, silvicultura y pesca",Empleo asalariado (miles de personas),2021,11.5
4,Castilla-La Mancha,Albacete,"A. Agricultura, ganadería, silvicultura y pesca",Empleo asalariado (miles de personas),2020,10.9
5,Castilla-La Mancha,Albacete,"A. Agricultura, ganadería, silvicultura y pesca",Empleo asalariado (miles de personas),2019,9.3
6,Castilla-La Mancha,Albacete,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo total (miles de personas),2021,19.0
7,Castilla-La Mancha,Albacete,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo total (miles de personas),2020,19.0
8,Castilla-La Mancha,Albacete,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo total (miles de personas),2019,19.5
9,Castilla-La Mancha,Albacete,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo asalariado (miles de personas),2021,17.3
10,Castilla-La Mancha,Albacete,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo asalariado (miles de personas),2020,17.5
11,Castilla-La Mancha,Albacete,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo asalariado (miles de personas),2019,18.0
12,Castilla-La Mancha,Albacete,C. - De las cuales: Industria manufacturera,Empleo total (miles de personas),2021,17.0
13,Castilla-La Mancha,Albacete,C. - De las cuales: Industria manufacturera,Empleo total (miles de personas),2020,17.0
14,Castilla-La Mancha,Albacete,C. - De las cuales: Industria manufacturera,Empleo total (miles de personas),2019,17.5
15,Castilla-La Mancha,Albacete,C. - De las cuales: Industria manufacturera,Empleo asalariado (miles de personas),2021,15.5
16,Castilla-La Mancha,Albacete,C. - De las cuales: Industria manufacturera,Empleo asalariado (miles de personas),2020,15.7
17,Castilla-La Mancha,Albacete,C. - De las cuales: Industria manufacturera,Empleo asalariado (miles de personas),2019,16.2
18,Castilla-La Mancha,Albacete,F. Construcción,Empleo total (miles de personas),2021,10.3
19,Castilla-La Mancha,Albacete,F. Construcción,Empleo total (miles de personas),2020,9.2
20,Castilla-La Mancha,Albacete,F. Construcción,Empleo total (miles de personas),2019,10.2
21,Castilla-La Mancha,Albacete,F. Construcción,Empleo asalariado (miles de personas),2021,8.6
22,Castilla-La Mancha,Albacete,F. Construcción,Empleo asalariado (miles de personas),2020,8.0
23,Castilla-La Mancha,Albacete,F. Construcción,Empleo asalariado (miles de personas),2019,8.3
24,Castilla-La Mancha,Albacete,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo total (miles de personas),2021,41.1
25,Castilla-La Mancha,Albacete,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo total (miles de personas),2020,39.7
26,Castilla-La Mancha,Albacete,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo total (miles de personas),2019,44.0
27,Castilla-La Mancha,Albacete,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo asalariado (miles de personas),2021,30.3
28,Castilla-La Mancha,Albacete,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo asalariado (miles de personas),2020,29.2
29,Castilla-La Mancha,Albacete,"G_J. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería, información y comunicaciones",Empleo asalariado (miles de personas),2019,32.1
30,Castilla-La Mancha,Albacete,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo total (miles de personas),2021,13.5
31,Castilla-La Mancha,Albacete,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo total (miles de personas),2020,13.3
32,Castilla-La Mancha,Albacete,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo total (miles de personas),2019,12.9
33,Castilla-La Mancha,Albacete,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo asalariado (miles de personas),2021,10.7
34,Castilla-La Mancha,Albacete,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo asalariado (miles de personas),2020,10.1
35,Castilla-La Mancha,Albacete,"K_N. Actividades financieras y de seguros, actividades inmobiliarias, actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares",Empleo asalariado (miles de personas),2019,9.8
36,Castilla-La Mancha,Albacete,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo total (miles de personas),2021,51.0
37,Castilla-La Mancha,Albacete,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo total (miles de personas),2020,50.6
38,Castilla-La Mancha,Albacete,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo total (miles de personas),2019,51.0
39,Castilla-La Mancha,Albacete,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo asalariado (miles de personas),2021,46.3
40,Castilla-La Mancha,Albacete,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo asalariado (miles de personas),2020,45.5
41,Castilla-La Mancha,Albacete,"O_U. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales, actividades artísticas, recreativas y de entretenimiento, reparación de artículos de uso doméstico y otros servicios",Empleo asalariado (miles de personas),2019,46.5
42,Comunidad Valenciana,Alicante/Alacant,"A. Agricultura, ganadería, silvicultura y pesca",Empleo total (miles de personas),2021,17.4
43,Comunidad Valenciana,Alicante/Alacant,"A. Agricultura, ganadería, silvicultura y pesca",Empleo total (miles de personas),2020,19.1
44,Comunidad Valenciana,Alicante/Alacant,"A. Agricultura, ganadería, silvicultura y pesca",Empleo total (miles de personas),2019,21.2
45,Comunidad Valenciana,Alicante/Alacant,"A. Agricultura, ganadería, silvicultura y pesca",Empleo asalariado (miles de personas),2021,13.4
46,Comunidad Valenciana,Alicante/Alacant,"A. Agricultura, ganadería, silvicultura y pesca",Empleo asalariado (miles de personas),2020,15.2
47,Comunidad Valenciana,Alicante/Alacant,"A. Agricultura, ganadería, silvicultura y pesca",Empleo asalariado (miles de personas),2019,17.2
48,Comunidad Valenciana,Alicante/Alacant,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo total (miles de personas),2021,67.5
49,Comunidad Valenciana,Alicante/Alacant,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo total (miles de personas),2020,65.1
50,Comunidad Valenciana,Alicante/Alacant,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo total (miles de personas),2019,68.9
51,Comunidad Valenciana,Alicante/Alacant,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo asalariado (miles de personas),2021,62.1
52,Comunidad Valenciana,Alicante/Alacant,"B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación",Empleo asalariado (miles de personas),2020,60.0
