,comunidad_autónoma,demanda (MW),porcentaje (%),mes,año
0,Andalucía,3668893.328,1,1,2019
1,Andalucía,3152278.091,1,2,2019
2,Andalucía,3216356.36,1,3,2019
3,Andalucía,3029639.973,1,4,2019
4,Andalucía,3154123.467,1,5,2019
5,Andalucía,3181997.313,1,6,2019
6,Andalucía,3676269.543,1,7,2019
7,Andalucía,3786647.665,1,8,2019
8,Andalucía,3261926.084,1,9,2019
9,Andalucía,3143205.713,1,10,2019
10,Andalucía,3215694.404,1,11,2019
11,Andalucía,3383670.228,1,12,2019
0,Aragón,957420.099,1,1,2019
1,Aragón,859577.223,1,2,2019
2,Aragón,931375.419,1,3,2019
3,Aragón,861851.879,1,4,2019
4,Aragón,901078.329,1,5,2019
5,Aragón,887513.783,1,6,2019
6,Aragón,947768.672,1,7,2019
7,Aragón,918355.065,1,8,2019
8,Aragón,880277.404,1,9,2019
9,Aragón,883069.114,1,10,2019
10,Aragón,905361.295,1,11,2019
11,Aragón,875169.733,1,12,2019
0,Canarias,755349.344,1,1,2019
1,Canarias,678572.401,1,2,2019
2,Canarias,738613.341,1,3,2019
3,Canarias,701144.535,1,4,2019
4,Canarias,724435.551,1,5,2019
5,Canarias,714689.013,1,6,2019
6,Canarias,765155.245,1,7,2019
7,Canarias,788634.096,1,8,2019
8,Canarias,752661.657,1,9,2019
9,Canarias,773780.358,1,10,2019
10,Canarias,734424.275,1,11,2019
11,Canarias,747518.318,1,12,2019
0,Cantabria,376344.812,1,1,2019
1,Cantabria,335609.363,1,2,2019
2,Cantabria,363081.312,1,3,2019
3,Cantabria,358214.104,1,4,2019
4,Cantabria,358357.706,1,5,2019
5,Cantabria,334031.262,1,6,2019
6,Cantabria,349591.357,1,7,2019
7,Cantabria,344327.486,1,8,2019
8,Cantabria,341052.811,1,9,2019
9,Cantabria,347289.235,1,10,2019
10,Cantabria,356017.986,1,11,2019
11,Cantabria,324383.453,1,12,2019
0,Castilla - La Mancha,1112346.134,1,1,2019
1,Castilla - La Mancha,988724.576,1,2,2019
