,comunidad_autónoma,categoria,generacion (MW),porcentaje (%),mes,año
0,Andalucía,Hidráulica,25288.605,2.9516851640872943,1,2019
1,Andalucía,Hidráulica,33933.35,3.077893674890062,2,2019
2,Andalucía,Hidráulica,35913.0,2.9644538629728703,3,2019
3,Andalucía,Hidráulica,44050.848,4.133966138114282,4,2019
4,Andalucía,Hidráulica,88535.452,6.849683355574686,5,2019
5,Andalucía,Hidráulica,92464.391,7.917400147359059,6,2019
6,Andalucía,Hidráulica,91236.63,7.928337341934863,7,2019
7,Andalucía,Hidráulica,80161.437,6.657043839804142,8,2019
8,Andalucía,Hidráulica,40095.141,4.509689488472091,9,2019
9,Andalucía,Hidráulica,21984.146,2.4585815743516495,10,2019
10,Andalucía,Hidráulica,21611.63,2.063241088931188,11,2019
11,Andalucía,Hidráulica,33252.448,3.3000879163056496,12,2019
12,Andalucía,Eólica,547209.843,63.870315314966476,1,2019
13,Andalucía,Eólica,714535.96,64.81133491875983,2,2019
14,Andalucía,Eólica,705153.705,58.20721256305187,3,2019
15,Andalucía,Eólica,607656.868,57.02575614218778,4,2019
16,Andalucía,Eólica,612356.002,47.375877344429874,5,2019
17,Andalucía,Eólica,454884.57,38.950163653263694,6,2019
18,Andalucía,Eólica,456346.421,39.65587473444194,7,2019
19,Andalucía,Eólica,495339.705,41.13571631432519,8,2019
20,Andalucía,Eólica,375841.662,42.27268317752718,9,2019
21,Andalucía,Eólica,430931.821,48.192958457990734,10,2019
22,Andalucía,Eólica,764217.456,72.9590899019492,11,2019
23,Andalucía,Eólica,684672.055,67.94922212456832,12,2019
24,Andalucía,Solar fotovoltaica,100175.137,11.692438776014423,1,2019
25,Andalucía,Solar fotovoltaica,119956.735,10.880566637746151,2,2019
26,Andalucía,Solar fotovoltaica,147364.111,12.164233233578727,3,2019
27,Andalucía,Solar fotovoltaica,132367.448,12.42206615002288,4,2019
28,Andalucía,Solar fotovoltaica,172457.989,13.342481346220294,5,2019
29,Andalucía,Solar fotovoltaica,166634.356,14.268313028195708,6,2019
30,Andalucía,Solar fotovoltaica,175669.523,15.265439320158855,7,2019
31,Andalucía,Solar fotovoltaica,182499.378,15.155745774405057,8,2019
32,Andalucía,Solar fotovoltaica,169840.831,19.102798772401492,9,2019
33,Andalucía,Solar fotovoltaica,174440.057,19.508381629609424,10,2019
34,Andalucía,Solar fotovoltaica,101305.46,9.671532762918618,11,2019
35,Andalucía,Solar fotovoltaica,120605.521,11.969308921010786,12,2019
36,Andalucía,Solar térmica,74526.679,8.69875158131483,1,2019
37,Andalucía,Solar térmica,125159.24,11.352455126005752,2,2019
38,Andalucía,Solar térmica,194932.656,16.090799017034545,3,2019
39,Andalucía,Solar térmica,170591.365,16.009202055876287,4,2019
40,Andalucía,Solar térmica,330398.724,25.561812690422748,5,2019
41,Andalucía,Solar térmica,341081.315,29.205591735768007,6,2019
42,Andalucía,Solar térmica,296144.8,25.734574769583567,7,2019
43,Andalucía,Solar térmica,311366.833,25.857603544981046,8,2019
44,Andalucía,Solar térmica,183963.277,20.691216837266627,9,2019
45,Andalucía,Solar térmica,138110.375,15.4454770816113,10,2019
46,Andalucía,Solar térmica,35561.83,3.3950529808989787,11,2019
47,Andalucía,Solar térmica,38142.147,3.785358552147914,12,2019
48,Andalucía,Otras renovables,109551.171,12.786809163616983,1,2019
49,Andalucía,Otras renovables,108900.817,9.877749642598216,2,2019
50,Andalucía,Otras renovables,128090.7,10.573301323361987,3,2019
51,Andalucía,Otras renovables,110916.655,10.409009513798786,4,2019
52,Andalucía,Otras renovables,88799.932,6.8701452633524,5,2019
53,Andalucía,Otras renovables,112798.42,9.658531435413542,6,2019
54,Andalucía,Otras renovables,131368.872,11.415773833880769,7,2019
55,Andalucía,Otras renovables,134792.315,11.193890526484566,8,2019
56,Andalucía,Otras renovables,119347.819,13.423611724332622,9,2019
57,Andalucía,Otras renovables,128713.653,14.394601256436887,10,2019
58,Andalucía,Otras renovables,124763.861,11.911083265302032,11,2019
59,Andalucía,Otras renovables,130950.924,12.996022485967334,12,2019
60,Aragón,Hidráulica,131495.03,14.964129954808985,1,2019
61,Aragón,Hidráulica,221430.474,38.912332910566434,2,2019
62,Aragón,Hidráulica,200132.786,28.12927029106596,3,2019
63,Aragón,Hidráulica,178686.785,29.161033746940536,4,2019
64,Aragón,Hidráulica,302077.376,31.309186353753937,5,2019
65,Aragón,Hidráulica,266470.668,40.76342459489653,6,2019
66,Aragón,Hidráulica,199161.329,32.304950265720635,7,2019
67,Aragón,Hidráulica,156725.948,34.30474067438626,8,2019
68,Aragón,Hidráulica,103073.651,20.635006694087785,9,2019
69,Aragón,Hidráulica,130416.331,25.266824994262834,10,2019
70,Aragón,Hidráulica,243630.788,28.61116605609765,11,2019
71,Aragón,Hidráulica,413610.263,42.99276935381387,12,2019
72,Aragón,Eólica,726757.534,82.7049827237768,1,2019
73,Aragón,Eólica,318790.942,56.02164435585806,2,2019
74,Aragón,Eólica,473986.275,66.62020906324925,3,2019
75,Aragón,Eólica,402582.527,65.70000493195734,4,2019
76,Aragón,Eólica,621420.445,64.40789699039792,5,2019
77,Aragón,Eólica,347042.749,53.08896110872173,6,2019
78,Aragón,Eólica,377958.303,61.30670166863151,7,2019
79,Aragón,Eólica,263386.659,57.65102173181944,8,2019
80,Aragón,Eólica,364672.339,73.00620559577976,9,2019
81,Aragón,Eólica,359265.976,69.60409384607692,10,2019
82,Aragón,Eólica,588284.062,69.08606717652471,11,2019
83,Aragón,Eólica,516315.277,53.6684545903338,12,2019
84,Aragón,Solar fotovoltaica,15605.837,1.7759437213829787,1,2019
85,Aragón,Solar fotovoltaica,23485.877,4.127210893838466,2,2019
86,Aragón,Solar fotovoltaica,31154.675,4.378884097008051,3,2019
87,Aragón,Solar fotovoltaica,25724.805,4.198194660777318,4,2019
88,Aragón,Solar fotovoltaica,35460.804,3.6753792534596927,5,2019
89,Aragón,Solar fotovoltaica,34797.633,5.323177592200816,6,2019
90,Aragón,Solar fotovoltaica,34472.594,5.59162484148908,7,2019
91,Aragón,Solar fotovoltaica,32966.806,7.215893380289529,8,2019
92,Aragón,Solar fotovoltaica,28060.968,5.617713711553529,9,2019
93,Aragón,Solar fotovoltaica,22121.294,4.285773567304515,10,2019
94,Aragón,Solar fotovoltaica,15347.695,1.8023807821174866,11,2019
95,Aragón,Solar fotovoltaica,28925.543,3.006669103452168,12,2019
96,Aragón,Otras renovables,4876.483,0.5549436000312468,1,2019
97,Aragón,Otras renovables,5342.305,0.9388118397370347,2,2019
98,Aragón,Otras renovables,6201.478,0.871636548676733,3,2019
99,Aragón,Otras renovables,5764.63,0.9407666603248014,4,2019
100,Aragón,Otras renovables,5861.644,0.6075374023884651,5,2019
101,Aragón,Otras renovables,5389.346,0.8244367041809164,6,2019
102,Aragón,Otras renovables,4911.831,0.7967232241587666,7,2019
103,Aragón,Otras renovables,3784.405,0.828344213504778,8,2019
